,Year,day,,Time,Levels(ft),Inflows(Cs),Disch(Cs)
7,1999,07 April 1999,97,1999.263,1537.78,9654,15670
8,1999,08 April 1999,98,1999.266,1537.06,10447,16000
9,1999,09 April 1999,99,1999.268,1536.42,11162,16095
10,1999,10 April 1999,100,1999.271,1535.78,11111,16048
11,1999,11 April 1999,101,1999.274,1535.02,10090,15952
12,1999,12 April 1999,102,1999.277,1534.41,11507,16213
13,1999,13 April 1999,103,1999.279,1533.93,12250,15952
14,1999,14 April 1999,104,1999.282,1533.48,12480,15951
15,1999,15 April 1999,105,1999.285,1532.88,11386,16015
16,1999,16 April 1999,106,1999.288,1532.47,11888,15050
17,1999,17 April 1999,107,1999.290,1532.08,12040,15048
18,1999,18 April 1999,108,1999.293,1531.72,12552,15330
19,1999,19 April 1999,109,1999.296,1531.6,14179,15104
20,1999,20 April 1999,110,1999.299,1531.54,15594,16057
21,1999,21 April 1999,111,1999.301,1531.72,17443,16055
22,1999,22 April 1999,112,1999.304,1531.92,19638,18095
23,1999,23 April 1999,113,1999.307,1531.94,19655,19500
24,1999,24 April 1999,114,1999.310,1532.02,20062,19445
25,1999,25 April 1999,115,1999.312,1532.4,22486,19555
26,1999,26 April 1999,116,1999.315,1532.47,20040,19500
27,1999,27 April 1999,117,1999.318,1532.53,19797,19335
28,1999,28 April 1999,118,1999.321,1532.74,21121,19500
29,1999,29 April 1999,119,1999.323,1533.03,22925,20688
30,1999,30 April 1999,120,1999.326,1533.54,24357,20423
1,1999,01 May 1999,121,1999.329,1534.25,27048,21571
2,1999,02 May 1999,122,1999.332,1534.81,28370,24052
3,1999,03 May 1999,123,1999.334,1534.86,24439,24053
4,1999,04 May 1999,124,1999.337,1534.26,19533,24160
5,1999,05 May 1999,125,1999.340,1533.44,17675,24000
6,1999,06 May 1999,126,1999.342,1532.58,17419,24054
7,1999,07 May 1999,127,1999.345,1531.92,18855,23946
8,1999,08 May 1999,128,1999.348,1531.77,22897,24054
9,1999,09 May 1999,129,1999.351,1532,25668,23893
10,1999,10 May 1999,130,1999.353,1531.68,21851,24320
11,1999,11 May 1999,131,1999.356,1531.11,19656,24053
12,1999,12 May 1999,132,1999.359,1530.68,20633,23947
13,1999,13 May 1999,133,1999.362,1530.56,22080,23006
14,1999,14 May 1999,134,1999.364,1530.64,23517,22899
15,1999,15 May 1999,135,1999.367,1530.6,22650,22959
16,1999,16 May 1999,136,1999.370,1530.41,21440,22906
17,1999,17 May 1999,137,1999.373,1530.4,22830,22907
18,1999,18 May 1999,138,1999.375,1531.05,27972,22960
19,1999,19 May 1999,139,1999.378,1532.11,30922,22746
20,1999,20 May 1999,140,1999.381,1533.05,30159,22907
21,1999,21 May 1999,141,1999.384,1534.26,31975,22642
22,1999,22 May 1999,142,1999.386,1535.62,33921,23431
23,1999,23 May 1999,143,1999.389,1536.84,32356,22945
24,1999,24 May 1999,144,1999.392,1538.41,35160,23055
25,1999,25 May 1999,145,1999.395,1540.56,40443,22728
26,1999,26 May 1999,146,1999.397,1541.72,34181,22894
27,1999,27 May 1999,147,1999.400,1542.32,29982,24143
28,1999,28 May 1999,148,1999.403,1542.73,28427,24438
29,1999,29 May 1999,149,1999.405,1543.16,28684,24500
30,1999,30 May 1999,150,1999.408,1543.51,27960,24555
31,1999,31 May 1999,151,1999.411,1543.64,25710,24445
1,1999,01 June 1999,152,1999.414,1542.94,22775,29586
2,1999,02 June 1999,153,1999.416,1541.96,20189,29725
3,1999,03 June 1999,154,1999.419,1540.7,17011,29271
4,1999,04 June 1999,155,1999.422,1539.17,16841,30055
5,1999,05 June 1999,156,1999.425,1537.75,18992,29945
6,1999,06 June 1999,157,1999.427,1536.08,17123,30000
7,1999,07 June 1999,158,1999.430,1534.21,15685,30110
8,1999,08 June 1999,159,1999.433,1532.41,16060,29945
9,1999,09 June 1999,160,1999.436,1530.94,18443,29779
10,1999,10 June 1999,161,1999.438,1529.86,21616,29945
11,1999,11 June 1999,162,1999.441,1529.26,25158,29785
12,1999,12 June 1999,163,1999.444,1528.93,27775,30322
13,1999,13 June 1999,164,1999.447,1528.71,29362,31059
14,1999,14 June 1999,165,1999.449,1528.17,26835,31000
15,1999,15 June 1999,166,1999.452,1527.43,25078,30787
16,1999,16 June 1999,167,1999.455,1526.97,27913,31461
17,1999,17 June 1999,168,1999.458,1527.31,34944,32321
18,1999,18 June 1999,169,1999.460,1528.53,42077,32667
19,1999,19 June 1999,170,1999.463,1529.93,42827,32027
20,1999,20 June 1999,171,1999.466,1532.64,54125,33225
21,1999,21 June 1999,172,1999.468,1534.26,46996,34500
22,1999,22 June 1999,173,1999.471,1535.22,41905,34500
23,1999,23 June 1999,174,1999.474,1535.61,37361,34353
24,1999,24 June 1999,175,1999.477,1535.91,37314,35000
25,1999,25 June 1999,176,1999.479,1536.33,37015,33775
26,1999,26 June 1999,177,1999.482,1536.69,37639,34862
27,1999,27 June 1999,178,1999.485,1537.53,40720,34246
28,1999,28 June 1999,179,1999.488,1538.82,44831,34881
29,1999,29 June 1999,180,1999.490,1540.11,43082,32908
30,1999,30 June 1999,181,1999.493,1541.62,47133,32440
1,1999,01 July 1999,182,1999.496,1543.8,51418,30206
2,1999,02 July 1999,183,1999.499,1546.28,54633,30502
3,1999,03 July 1999,184,1999.501,1549.53,61711,30092
4,1999,04 July 1999,185,1999.504,1552.09,54498,29587
5,1999,05 July 1999,186,1999.507,1553.52,44069,30155
6,1999,06 July 1999,187,1999.510,1554.7,41127,29645
7,1999,07 July 1999,188,1999.512,1555.97,42557,30200
8,1999,08 July 1999,189,1999.515,1557.26,43073,30520
9,1999,09 July 1999,190,1999.518,1558.75,43978,29480
10,1999,10 July 1999,191,1999.521,1560.62,49640,30310
11,1999,11 July 1999,192,1999.523,1562.56,51743,29315
12,1999,12 July 1999,193,1999.526,1564.6,53686,30103
13,1999,13 July 1999,194,1999.529,1566.94,56569,29518
14,1999,14 July 1999,195,1999.532,1568.11,42794,29267
15,1999,15 July 1999,196,1999.534,1568.77,36682,29053
16,1999,16 July 1999,197,1999.537,1569.54,37955,29053
17,1999,17 July 1999,198,1999.540,1570.7,42570,29160
18,1999,18 July 1999,199,1999.542,1572.2,46022,28680
19,1999,19 July 1999,200,1999.545,1573.93,48516,28517
20,1999,20 July 1999,201,1999.548,1575.78,50543,29156
21,1999,21 July 1999,202,1999.551,1579.56,68096,24397
22,1999,22 July 1999,203,1999.553,1584.05,81740,23645
23,1999,23 July 1999,204,1999.556,1587.3,65892,23224
24,1999,24 July 1999,205,1999.559,1589.75,55164,23000
25,1999,25 July 1999,206,1999.562,1591.49,45896,23052
26,1999,26 July 1999,207,1999.564,1592.92,41831,23051
27,1999,27 July 1999,208,1999.567,1594.4,42949,23520
28,1999,28 July 1999,209,1999.570,1595.87,44057,24758
29,1999,29 July 1999,210,1999.573,1597.57,49164,26846
30,1999,30 July 1999,211,1999.575,1599.3,50814,27051
31,1999,31 July 1999,212,1999.578,1602.03,64980,27103
1,1999,01 August 1999,213,1999.581,1604.95,69251,26471
2,1999,02 August 1999,214,1999.584,1607.84,69237,26901
3,1999,03 August 1999,215,1999.586,1610.74,69033,27106
4,1999,04 August 1999,216,1999.589,1613.49,65885,25596
5,1999,05 August 1999,217,1999.592,1616.31,66753,25442
6,1999,06 August 1999,218,1999.595,1619.51,72909,26197
7,1999,07 August 1999,219,1999.597,1624.52,106006,25414
8,1999,08 August 1999,220,1999.600,1628.29,85990,24759
9,1999,09 August 1999,221,1999.603,1631.32,73920,24710
10,1999,10 August 1999,222,1999.605,1634.48,75879,24553
11,1999,11 August 1999,223,1999.608,1637.97,82151,25470
12,1999,12 August 1999,224,1999.611,1640.62,70015,25952
13,1999,13 August 1999,225,1999.614,1643.16,70915,25875
14,1999,14 August 1999,226,1999.616,1645.11,61572,26847
15,1999,15 August 1999,227,1999.619,1646.24,46780,26567
16,1999,16 August 1999,228,1999.622,1647.1,42325,26947
17,1999,17 August 1999,229,1999.625,1647.88,40843,26893
18,1999,18 August 1999,230,1999.627,1648.73,42254,27053
19,1999,19 August 1999,231,1999.630,1649.93,48359,26894
20,1999,20 August 1999,232,1999.633,1651.82,60744,26946
21,1999,21 August 1999,233,1999.636,1653.39,54604,26524
22,1999,22 August 1999,234,1999.638,1654.82,52209,26636
23,1999,23 August 1999,235,1999.641,1656.28,52436,26322
24,1999,24 August 1999,236,1999.644,1657.71,51229,25657
25,1999,25 August 1999,237,1999.647,1659,49951,26878
26,1999,26 August 1999,238,1999.649,1660.27,49870,26733
27,1999,27 August 1999,239,1999.652,1661.59,51822,27107
28,1999,28 August 1999,240,1999.655,1662.44,44140,26625
29,1999,29 August 1999,241,1999.658,1663.09,40021,27371
30,1999,30 August 1999,242,1999.660,1663.63,37161,26653
31,1999,31 August 1999,243,1999.663,1664.1,35658,26511
1,1999,01 September 1999,244,1999.666,1664.56,35251,26299
2,1999,02 September 1999,245,1999.668,1664.89,34031,27608
3,1999,03 September 1999,246,1999.671,1665.29,35173,27389
4,1999,04 September 1999,247,1999.674,1665.57,33899,28451
5,1999,05 September 1999,248,1999.677,1665.95,33628,26232
6,1999,06 September 1999,249,1999.679,1666.44,35655,26120
7,1999,07 September 1999,250,1999.682,1666.67,31372,26896
8,1999,08 September 1999,251,1999.685,1666.65,26537,26926
9,1999,09 September 1999,252,1999.688,1666.8,29898,26978
10,1999,10 September 1999,253,1999.690,1666.95,29715,26796
11,1999,11 September 1999,254,1999.693,1666.95,26212,26212
12,1999,12 September 1999,255,1999.696,1667.18,28708,24232
13,1999,13 September 1999,256,1999.699,1667.37,28026,24329
14,1999,14 September 1999,257,1999.701,1667.41,27779,27000
15,1999,15 September 1999,258,1999.704,1667.47,27865,26698
16,1999,16 September 1999,259,1999.707,1667.61,28650,25925
17,1999,17 September 1999,260,1999.710,1667.68,27960,26598
18,1999,18 September 1999,261,1999.712,1667.95,30711,25674
19,1999,19 September 1999,262,1999.715,1668.09,28267,25542
20,1999,20 September 1999,263,1999.718,1668.47,32447,25053
21,1999,21 September 1999,264,1999.721,1668.61,28260,25535
22,1999,22 September 1999,265,1999.723,1668.66,26261,25288
23,1999,23 September 1999,266,1999.726,1668.72,27126,25958
24,1999,24 September 1999,267,1999.729,1669.43,36922,23106
25,1999,25 September 1999,268,1999.732,1669.72,28943,23299
26,1999,26 September 1999,269,1999.734,1669.87,26016,23097
27,1999,27 September 1999,270,1999.737,1669.95,24707,23150
28,1999,28 September 1999,271,1999.740,1669.94,23222,23417
29,1999,29 September 1999,272,1999.742,1669.91,22620,23203
30,1999,30 September 1999,273,1999.745,1669.85,22088,23256
1,1999,01 October 1999,274,1999.748,1669.94,20938,19187
2,1999,02 October 1999,275,1999.751,1670.05,20691,18550
3,1999,03 October 1999,276,1999.753,1670.09,18758,17979
4,1999,04 October 1999,277,1999.756,1670.05,17366,18145
5,1999,05 October 1999,278,1999.759,1670.01,17125,17903
6,1999,06 October 1999,279,1999.762,1669.94,17025,18388
7,1999,07 October 1999,280,1999.764,1669.79,15248,18166
8,1999,08 October 1999,281,1999.767,1669.6,15060,18759
9,1999,09 October 1999,282,1999.770,1669.37,14148,18624
10,1999,10 October 1999,283,1999.773,1669.12,13635,18500
11,1999,11 October 1999,284,1999.775,1668.86,13494,18552
12,1999,12 October 1999,285,1999.778,1668.44,13263,21438
13,1999,13 October 1999,286,1999.781,1668.02,12739,20912
14,1999,14 October 1999,287,1999.784,1667.57,12188,20946
15,1999,15 October 1999,288,1999.786,1667.19,12079,19473
16,1999,16 October 1999,289,1999.789,1666.86,12120,18542
17,1999,17 October 1999,290,1999.792,1666.52,11833,18451
18,1999,18 October 1999,291,1999.795,1666.17,11738,18549
19,1999,19 October 1999,292,1999.797,1665.84,11932,18354
20,1999,20 October 1999,293,1999.800,1665.48,10697,17703
21,1999,21 October 1999,294,1999.803,1665.2,11084,16533
22,1999,22 October 1999,295,1999.805,1664.87,10494,16916
23,1999,23 October 1999,296,1999.808,1664.54,10077,16500
24,1999,24 October 1999,297,1999.811,1664.22,10273,16500
25,1999,25 October 1999,298,1999.814,1663.87,9737,16548
26,1999,26 October 1999,299,1999.816,1663.5,10146,17347
27,1999,27 October 1999,300,1999.819,1663.1,9813,17597
28,1999,28 October 1999,301,1999.822,1662.7,9765,17548
29,1999,29 October 1999,302,1999.825,1662.29,9570,17549
30,1999,30 October 1999,303,1999.827,1661.87,9084,17258
31,1999,31 October 1999,304,1999.830,1661.4,9114,18261
1,1999,01 November 1999,305,1999.833,1660.93,9502,18648
2,1999,02 November 1999,306,1999.836,1660.49,9840,18403
3,1999,03 November 1999,307,1999.838,1660.04,9645,18403
4,1999,04 November 1999,308,1999.841,1659.51,9545,19085
5,1999,05 November 1999,309,1999.844,1658.92,9445,20000
6,1999,06 November 1999,310,1999.847,1658.33,9545,20097
7,1999,07 November 1999,311,1999.849,1657.77,10061,20075
8,1999,08 November 1999,312,1999.852,1657.26,10879,20000
9,1999,09 November 1999,313,1999.855,1656.71,9642,19476
10,1999,10 November 1999,314,1999.858,1656.1,9090,20000
11,1999,11 November 1999,315,1999.860,1655.47,9774,21044
12,1999,12 November 1999,316,1999.863,1654.83,9736,21181
13,1999,13 November 1999,317,1999.866,1654.12,9448,22146
14,1999,14 November 1999,318,1999.868,1653.37,8908,22320
15,1999,15 November 1999,319,1999.871,1652.57,8646,22952
16,1999,16 November 1999,320,1999.874,1651.78,8452,22583
17,1999,17 November 1999,321,1999.877,1650.98,8486,22792
18,1999,18 November 1999,322,1999.879,1650.19,8548,22677
19,1999,19 November 1999,323,1999.882,1649.34,7752,22953
20,1999,20 November 1999,324,1999.885,1648.48,7571,22954
21,1999,21 November 1999,325,1999.888,1647.62,7487,22866
22,1999,22 November 1999,326,1999.890,1646.85,9230,23000
23,1999,23 November 1999,327,1999.893,1645.96,8126,24046
24,1999,24 November 1999,328,1999.896,1645.02,8026,24837
25,1999,25 November 1999,329,1999.899,1644.08,7598,24408
26,1999,26 November 1999,330,1999.901,1643.15,7296,23928
27,1999,27 November 1999,331,1999.904,1642.26,6993,22908
28,1999,28 November 1999,332,1999.907,1641.34,6478,22935
29,1999,29 November 1999,333,1999.910,1640.41,6462,23092
30,1999,30 November 1999,334,1999.912,1639.5,7592,23048
1,1999,01 December 1999,335,1999.915,1638.58,7455,22396
2,1999,02 December 1999,336,1999.918,1637.84,7993,20014
3,1999,03 December 1999,337,1999.921,1637.07,7591,20097
4,1999,04 December 1999,338,1999.923,1636.31,7803,20145
5,1999,05 December 1999,339,1999.926,1635.56,7437,19619
6,1999,06 December 1999,340,1999.929,1634.76,7216,20208
7,1999,07 December 1999,341,1999.932,1633.97,7389,20223
8,1999,08 December 1999,342,1999.934,1633.17,7461,20454
9,1999,09 December 1999,343,1999.937,1632.36,7259,20412
10,1999,10 December 1999,344,1999.940,1631.54,7268,20588
11,1999,11 December 1999,345,1999.942,1630.72,7096,20412
12,1999,12 December 1999,346,1999.945,1629.91,6840,20000
13,1999,13 December 1999,347,1999.948,1629.12,6645,19475
14,1999,14 December 1999,348,1999.951,1628.29,6525,20003
15,1999,15 December 1999,349,1999.953,1627.42,6914,21046
16,1999,16 December 1999,350,1999.956,1626.54,6525,20815
17,1999,17 December 1999,351,1999.959,1625.72,6461,19783
18,1999,18 December 1999,352,1999.962,1624.9,6184,19500
19,1999,19 December 1999,353,1999.964,1624.07,6020,19500
20,1999,20 December 1999,354,1999.967,1623.23,5854,19500
21,1999,21 December 1999,355,1999.970,1622.4,5979,19456
22,1999,22 December 1999,356,1999.973,1621.56,5766,19412
23,1999,23 December 1999,357,1999.975,1620.72,5727,19368
24,1999,24 December 1999,358,1999.978,1619.8,5512,20137
25,1999,25 December 1999,359,1999.981,1618.9,6245,19431
26,1999,26 December 1999,360,1999.984,1618.04,6545,19144
27,1999,27 December 1999,361,1999.986,1617.21,6669,18824
28,1999,28 December 1999,362,1999.989,1616.38,6701,18862
29,1999,29 December 1999,363,1999.992,1615.5,6107,19000
30,1999,30 December 1999,364,1999.995,1614.64,6354,18954
31,1999,31 December 1999,365,1999.997,1613.6,6651,21883
1,2000,01 January 2000,1,2000.000,1612.27,9597,29082
2,2000,02 January 2000,2,2000.003,1611.2,7006,22683
3,2000,03 January 2000,3,2000.005,1610.32,5881,18772
4,2000,04 January 2000,4,2000.008,1609.45,5986,18729
5,2000,05 January 2000,5,2000.011,1608.6,5999,18454
6,2000,06 January 2000,6,2000.014,1607.76,6193,18500
7,2000,07 January 2000,7,2000.016,1606.87,5711,18750
8,2000,08 January 2000,8,2000.019,1605.04,5783,19404
9,2000,09 January 2000,9,2000.022,1604.85,5673,21642
10,2000,10 January 2000,10,2000.025,1603.82,5734,20825
11,2000,11 January 2000,11,2000.027,1602.82,5432,20083
12,2000,12 January 2000,12,2000.030,1602,5477,17490
13,2000,13 January 2000,13,2000.033,1601.8,7028,15814
14,2000,14 January 2000,14,2000.036,1600.94,9069,15809
15,2000,15 January 2000,15,2000.038,1600.36,7540,16037
16,2000,16 January 2000,16,2000.041,1599.67,6206,15813
17,2000,17 January 2000,17,2000.044,1599.01,6643,15308
18,2000,18 January 2000,18,2000.046,1598.36,6567,15099
19,2000,19 January 2000,19,2000.049,1597.67,6170,15230
20,2000,20 January 2000,20,2000.052,1597,6250,15046
21,2000,21 January 2000,21,2000.055,1596.24,6353,16330
22,2000,22 January 2000,22,2000.057,1595.45,6127,16500
23,2000,23 January 2000,23,2000.060,1594.62,6222,17117
24,2000,24 January 2000,24,2000.063,1593.83,5869,16241
25,2000,25 January 2000,25,2000.066,1593.03,5732,16235
26,2000,26 January 2000,26,2000.068,1592.27,5630,15607
27,2000,27 January 2000,27,2000.071,1591.62,7328,15867
28,2000,28 January 2000,28,2000.074,1590.91,6560,15879
29,2000,29 January 2000,29,2000.077,1590.18,6231,15815
30,2000,30 January 2000,30,2000.079,1589.43,5927,15776
31,2000,31 January 2000,31,2000.082,1588.65,5663,15903
1,2000,01 February 2000,32,2000.085,1587.87,5614,15854
2,2000,02 February 2000,33,2000.087,1587.18,6809,15868
3,2000,03 February 2000,34,2000.090,1586.49,6542,15600
4,2000,04 February 2000,35,2000.093,1585.85,6322,14725
5,2000,05 February 2000,36,2000.096,1585.16,5942,15000
6,2000,06 February 2000,37,2000.098,1584.47,5941,15000
7,2000,07 February 2000,38,2000.101,1583.83,6943,15345
8,2000,08 February 2000,39,2000.104,1583.1,5600,15184
9,2000,09 February 2000,40,2000.107,1582.37,5507,15090
10,2000,10 February 2000,41,2000.109,1581.64,5415,15000
11,2000,11 February 2000,42,2000.112,1580.95,5986,15044
12,2000,12 February 2000,43,2000.115,1580.29,6644,15308
13,2000,13 February 2000,44,2000.117,1579.66,7261,15000
14,2000,14 February 2000,45,2000.120,1579.06,7932,14868
15,2000,15 February 2000,46,2000.123,1578.35,6880,15088
16,2000,16 February 2000,47,2000.126,1577.62,6604,15044
17,2000,17 February 2000,48,2000.128,1576.84,5983,15000
18,2000,18 February 2000,49,2000.131,1576.09,6286,14956
19,2000,19 February 2000,50,2000.134,1575.31,6117,15134
20,2000,20 February 2000,51,2000.137,1574.55,6124,14910
21,2000,21 February 2000,52,2000.139,1573.81,6489,15044
22,2000,22 February 2000,53,2000.142,1573,5636,15000
23,2000,23 February 2000,54,2000.145,1572.1,5641,16045
24,2000,24 February 2000,55,2000.148,1571.2,5606,16011
25,2000,25 February 2000,56,2000.150,1570.29,5576,16097
26,2000,26 February 2000,57,2000.153,1569.2,5496,18096
27,2000,27 February 2000,58,2000.156,1568.01,5229,18986
28,2000,28 February 2000,59,2000.158,1566.79,5139,19244
29,2000,29 February 2000,60,2000.161,1565.51,5343,20139
1,2000,01 March 2000,61,2000.164,1564.16,5029,20636
2,2000,02 March 2000,62,2000.167,1562.82,4601,20093
3,2000,03 March 2000,63,2000.169,1561.48,4600,20090
4,2000,04 March 2000,64,2000.172,1560.05,4528,21060
5,2000,05 March 2000,65,2000.175,1558.58,6510,20906
6,2000,06 March 2000,66,2000.178,1557.16,7684,21500
7,2000,07 March 2000,67,2000.180,1555.62,6603,21588
8,2000,08 March 2000,68,2000.183,1554.11,6397,21090
9,2000,09 March 2000,69,2000.186,1552.6,6173,20866
10,2000,10 March 2000,70,2000.189,1551.09,5872,20565
11,2000,11 March 2000,71,2000.191,1549.56,5612,20500
12,2000,12 March 2000,72,2000.194,1548,5282,20456
13,2000,13 March 2000,73,2000.197,1546.54,6288,20495
14,2000,14 March 2000,74,2000.199,1545,5560,20544
15,2000,15 March 2000,75,2000.202,1543.43,5267,20544
16,2000,16 March 2000,76,2000.205,1541.84,5116,20588
17,2000,17 March 2000,77,2000.208,1540.23,4927,20592
18,2000,18 March 2000,78,2000.210,1538.36,5658,20547
19,2000,19 March 2000,79,2000.213,1536.79,7822,19928
20,2000,20 March 2000,80,2000.216,1535.26,8199,20000
21,2000,21 March 2000,81,2000.219,1533.59,7071,19954
22,2000,22 March 2000,82,2000.221,1531.8,6148,19956
23,2000,23 March 2000,83,2000.224,1530.16,6497,19144
24,2000,24 March 2000,84,2000.227,1528.48,7045,20002
25,2000,25 March 2000,85,2000.230,1526.98,8519,20090
26,2000,26 March 2000,86,2000.232,1525.31,7119,20000
27,2000,27 March 2000,87,2000.235,1523.52,6335,20139
28,2000,28 March 2000,88,2000.238,1521.83,6779,19815
29,2000,29 March 2000,89,2000.240,1520.14,7104,20139
30,2000,30 March 2000,90,2000.243,1518.55,9861,20092
31,2000,31 March 2000,91,2000.246,1517.19,11413,20000
1,2000,01 April 2000,92,2000.249,1516.05,11292,18492
2,2000,02 April 2000,93,2000.251,1515.09,10100,16160
3,2000,03 April 2000,94,2000.254,1514.23,8800,14229
4,2000,04 April 2000,95,2000.257,1513.06,9751,17135
5,2000,05 April 2000,96,2000.260,1511.94,9555,16625
6,2000,06 April 2000,97,2000.262,1510.76,8924,16374
7,2000,07 April 2000,98,2000.265,1509.86,8776,14460
8,2000,08 April 2000,99,2000.268,1509.09,8687,13548
9,2000,09 April 2000,100,2000.270,1508.28,8436,13549
